,id,TRBV9,TRBV8-2,TRBV7-9,TRBV7-8,TRBV7-7,TRBV7-6,TRBV7-5,TRBV7-4,TRBV7-3,TRBV7-2,TRBV7-1,TRBV6-9,TRBV6-8,TRBV6-7,TRBV6-6,TRBV6-5,TRBV6-4,TRBV6-3,TRBV6-1,TRBV5-8,TRBV5-7,TRBV5-6,TRBV5-5,TRBV5-4,TRBV5-3,TRBV5-2,TRBV5-1,TRBV4-3,TRBV4-2,TRBV4-1,TRBV30,TRBV3-2,TRBV3-1,TRBV29-1,TRBV28,TRBV27,TRBV26,TRBV25-1,TRBV24-1,TRBV23-1,TRBV22-1,TRBV21-1,TRBV20-1,TRBV2,TRBV19,TRBV18,TRBV17,TRBV16,TRBV15,TRBV14,TRBV13,TRBV12-5,TRBV12-4,TRBV12-3,TRBV12-2,TRBV12-1,TRBV11-3,TRBV11-2,TRBV11-1,TRBV10-3,TRBV10-2,TRBV10-1,TRBV1,TRAV3,TRAV20
0,HIP13256.txt,6467,,6844,2507,595,1756,35.0,44,3181,10725,,46.0,36.0,77.0,4580,7279,1126,7941,4741,1218.0,66.0,3341,1385,4099,214,,13650,3844.0,2873,2699,4105,5091,,4058,6183,3861,,1680,1475,303,1.0,713,14782,7210,7490,4780,,146.0,2143,1313,1033,759,8668,,93.0,54.0,988,2989,850.0,2421,413,353,97,,
0,HIP01384.txt,4254,,5939,762,384,1145,21.0,81,1252,4569,,13.0,18.0,49.0,2633,4625,722,3096,3580,410.0,31.0,2265,1181,2536,93,,6838,1661.0,748,2414,3822,3439,,2756,1195,3759,,878,1122,256,,637,7971,4171,5405,3237,1.0,105.0,1398,951,778,749,5657,,83.0,40.0,759,3190,299.0,1578,917,1007,53,,
0,HIP13178.txt,5274,,8997,2381,443,1584,25.0,44,2704,7268,1.0,41.0,44.0,81.0,3763,5420,2024,6681,3663,907.0,65.0,2856,1300,3126,201,,7221,4852.0,1615,3498,4610,4052,1.0,3368,10664,5641,,1234,2230,391,,1057,13782,4724,7632,4013,1.0,142.0,2053,1127,1104,316,6660,,122.0,73.0,983,3729,782.0,2135,622,374,78,,
0,HIP00926.txt,13927,,13380,5073,1436,3872,46.0,281,3314,13848,1.0,81.0,57.0,106.0,7187,10125,2076,12600,7485,1846.0,91.0,6002,2540,7401,305,,15305,9973.0,3401,6223,5034,10007,3.0,7817,12118,11133,,3063,4525,650,,1664,27988,9677,15496,7615,,221.0,5218,3107,2692,1800,15140,,225.0,102.0,2465,7475,1114.0,5769,1425,1467,146,,
0,HIP14066.txt,6014,,5203,1599,297,1275,15.0,30,1789,4438,2.0,31.0,19.0,71.0,2846,5924,549,5955,3599,521.0,46.0,2802,854,2523,150,,7958,3730.0,2861,3491,3234,2761,2.0,2877,7679,3200,,1319,2268,206,,259,17079,4430,5082,4976,,75.0,1806,959,897,231,5446,,80.0,34.0,515,1675,490.0,1766,253,286,117,,
0,HIP05377.txt,6349,,6668,2360,784,2041,25.0,124,1651,7315,,42.0,30.0,73.0,4175,8118,861,4841,5270,1174.0,48.0,3260,1091,4264,171,,12210,2924.0,2185,3937,5803,5452,2.0,5853,8146,5040,,1781,2625,295,1.0,691,10582,5778,8687,4480,,127.0,2345,1515,1149,823,8772,,128.0,52.0,711,2583,262.0,2916,740,781,101,,
0,HIP11513.txt,8117,,9952,2845,633,1795,28.0,80,3291,3003,1.0,73.0,59.0,138.0,5338,8448,2925,3114,9030,1237.0,91.0,4255,1251,6105,300,2.0,16951,16.0,3552,11987,19557,6624,3.0,8261,17279,10179,,2182,4530,534,1.0,1260,25086,10406,9356,4328,,173.0,3627,1963,2412,841,9105,,214.0,107.0,994,3334,574.0,4009,1236,1443,292,,
0,HIP01798.txt,7940,1.0,8832,3346,630,2315,36.0,60,3197,9320,1.0,41.0,34.0,72.0,4905,6829,1154,8881,4980,1418.0,38.0,3619,1763,4246,233,,9245,5447.0,3110,3225,6285,5334,1.0,4646,15935,8272,,1671,3591,446,,1252,16485,6326,9956,5659,1.0,204.0,3164,2031,1499,447,9310,,116.0,57.0,1236,4326,1012.0,2649,534,411,76,,
0,HIP14211.txt,8634,1.0,7212,2827,683,1958,35.0,50,2634,5305,1.0,60.0,37.0,103.0,4434,7678,1562,6632,6445,1032.0,48.0,3966,1015,5148,193,,10643,2376.0,2766,4030,8092,4958,1.0,6414,11938,7044,,1910,3275,343,,674,13077,8498,7889,2876,,158.0,3167,1487,1754,390,8842,,127.0,59.0,679,2836,557.0,3167,789,945,133,,
0,HIP13774.txt,3773,,5177,1870,538,1432,27.0,27,2375,4398,,32.0,23.0,42.0,2582,3534,1126,3793,3635,840.0,44.0,2128,895,2892,135,,7348,1605.0,819,2420,4675,4311,,3677,5523,4057,,1509,1448,257,2.0,594,11886,5337,6003,3363,,113.0,2073,1269,867,577,5796,,67.0,36.0,865,2972,547.0,2240,842,900,79,,
